stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kuoan\OneDrive\Desktop\fin\Group50_Project\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.18335] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18337] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18339] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18340] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.18344] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.18394] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.18398] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.23504] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.33797] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.33812] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.33821] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.33830] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.33836] Returning d3d_display: 0000000002c23510
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.33839] al_display=0000000002c23510
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.33841] al_display->vt=0000000002c233a0
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.33995] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34051] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34108] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34178] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34254] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34286] PathFindOnPath failed to find d3dx9_38.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34311] PathFindOnPath failed to find d3dx9_37.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34338] PathFindOnPath failed to find d3dx9_36.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34385] PathFindOnPath failed to find d3dx9_35.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34431] PathFindOnPath failed to find d3dx9_34.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34474] PathFindOnPath failed to find d3dx9_33.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34521] PathFindOnPath failed to find d3dx9_32.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34567] PathFindOnPath failed to find d3dx9_31.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34624] PathFindOnPath failed to find d3dx9_30.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34660] PathFindOnPath failed to find d3dx9_29.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34728] PathFindOnPath failed to find d3dx9_28.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34774] PathFindOnPath failed to find d3dx9_27.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34816] PathFindOnPath failed to find d3dx9_26.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34862] PathFindOnPath failed to find d3dx9_25.dll
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.34923] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.34930] Failed to load D3DX9 library. Library is not installed.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.35092] opening assets/image/icon.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.35145] opening assets/image/icon.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35188] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35193] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35196] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35199] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35202] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35204] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35207] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35210] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.35212] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.35215] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.35218] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.35221] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.35224] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.35869] added dtor for bitmap 0000000002c373c0, func 00007fffbe0b1bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39708] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39719] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39722] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39724] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39725] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39727] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39729] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39731] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.39732] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.39734] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.39736] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.39744] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.39747] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.39800] added dtor for bitmap 0000000002c35cb0, func 00007fffbe0b1bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.40504] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.40515] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.40650] removed dtor for bitmap 0000000002c35cb0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40715] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40724] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40727] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40730] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40733] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40736] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40739] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40742] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40745] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.40747] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.40750] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.40754] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.40757] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.40815] added dtor for bitmap 0000000002c370e0, func 00007fffbe0b1bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.41328] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.41334] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.41500] removed dtor for bitmap 0000000002c370e0
dtor     D               dtor.c:196  _al_register_destructor          [   0.41608] added dtor for queue 0000000002c370e0, func 00007fffbe0dc5dc
dtor     D               dtor.c:196  _al_register_destructor          [   0.41624] added dtor for timer 0000000002c371b0, func 00007fffbe0efb3b
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.41638] opening assets/font/pirulen.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.41678] Font assets/font/pirulen.ttf loaded with pixel size 0 x 50.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.41681]     ascent=48.0, descent=-12.0, height=60.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.41682] added dtor for ttf_font 0000000002c39140, func 00007fffbe1d4c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.41684] opening assets/image/main_menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.41699] opening assets/image/main_menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41711] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41713] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41715] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41716] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41717] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41725] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41727] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41728] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.41729] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.41731] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.41732] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.41734] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.41735] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.41957] added dtor for bitmap 0000000002c4a4a0, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.47860] opening assets/image/title.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.47883] opening assets/image/title.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47903] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47906] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47908] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47909] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47910] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47911] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47912] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47913] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.47914] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.47915] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.47917] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.47918] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.47919] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.48055] added dtor for bitmap 0000000002c57ad0, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48624] opening assets/image/start.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48643] opening assets/image/start.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48652] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48654] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48655] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48656] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48658] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48659] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48660] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48661] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48662] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.48663] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.48664] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.48672] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.48675] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.48765] added dtor for bitmap 0000000002c57260, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48929] opening assets/image/start_hover.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48949] opening assets/image/start_hover.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48959] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48961] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48962] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48963] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48964] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48965] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48966] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48967] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48968] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.48969] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.48971] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.48972] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.48973] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.49017] added dtor for bitmap 0000000002c57920, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49175] opening assets/image/about.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49194] opening assets/image/about.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49202] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49204] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49205] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49206] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49207] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49208] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49209] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49211] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49212] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.49213] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.49214] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.49215] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.49216] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.49262] added dtor for bitmap 0000000002c57580, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49512] opening assets/image/about_hover.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49531] opening assets/image/about_hover.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49540] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49542] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49543] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49544] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49553] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49555] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49556] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49557] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49558] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.49559] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.49561] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.49562] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.49563] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.49605] added dtor for bitmap 0000000002c57730, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49842] opening assets/image/quit.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.49857] opening assets/image/quit.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49865] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49866] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49868] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49869] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49870] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49871] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49872] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49873] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.49874] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.49875] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.49876] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.49877] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.49879] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.49910] added dtor for bitmap 0000000002cedf00, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.50115] opening assets/image/quit_hover.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.50128] opening assets/image/quit_hover.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50135] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50136] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50138] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50139] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50140] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50141] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50142] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50143] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.50144] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.50145] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.50146] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.50147] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.50149] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.50183] added dtor for bitmap 0000000002cee0b0, func 00007fffbe0b1bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.50385] opening assets/sound/menu.mp3 rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.50545] added dtor for sample 0000000002c392f0, func 00007fffbe1e1a1d
dtor     D               dtor.c:196  _al_register_destructor          [   1.50559] added dtor for sample_instance 0000000002c21530, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.50564] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.50566]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.50568]  0.000000 0.707107
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.50662] opening assets/sound/click.mp3 rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.51048] added dtor for sample 0000000002c38e10, func 00007fffbe1e1a1d
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51084] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51086] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51087] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51088] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51089] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51091] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51092] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51093] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.51094] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.51095] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.51096] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.51097] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.51098] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   1.51378] Glyph 53: 46x37 (48x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51389] Locking glyph region: 0000000002c4a1b0 0 0 48 40
font     D                ttf.c:167  unlock_current_page              [   1.51396] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51406] Glyph 54: 46x37 (48x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51409] Locking glyph region: 0000000002c4a1b0 48 0 48 40
font     D                ttf.c:167  unlock_current_page              [   1.51413] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51419] Glyph 35: 54x37 (56x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51421] Locking glyph region: 0000000002c4a1b0 96 0 56 40
font     D                ttf.c:167  unlock_current_page              [   1.51426] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51434] Glyph 52: 44x37 (44x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51436] Locking glyph region: 0000000002c4a1b0 152 0 44 40
font     D                ttf.c:167  unlock_current_page              [   1.51440] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51449] Glyph 36: 43x37 (44x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51454] Locking glyph region: 0000000002c4a1b0 196 0 44 40
font     D                ttf.c:167  unlock_current_page              [   1.51458] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51466] Glyph 49: 48x37 (48x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51468] Locking glyph region: 0000000002c4a1b0 240 0 48 40
font     D                ttf.c:167  unlock_current_page              [   1.51471] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51478] Glyph 55: 47x37 (48x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51480] Locking glyph region: 0000000002c4a1b0 288 0 48 40
font     D                ttf.c:167  unlock_current_page              [   1.51483] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51490] Glyph 51: 48x45 (48x48)
font     D                ttf.c:287  alloc_glyph_region               [   1.51492] Locking glyph region: 0000000002c4a1b0 336 0 48 48
font     D                ttf.c:167  unlock_current_page              [   1.51497] Unlocking page: 0000000002c4a1b0
font     D                ttf.c:243  alloc_glyph_region               [   1.51502] Glyph 43: 10x37 (12x40)
font     D                ttf.c:287  alloc_glyph_region               [   1.51504] Locking glyph region: 0000000002c4a1b0 384 0 12 40
font     D                ttf.c:167  unlock_current_page              [   1.51506] Unlocking page: 0000000002c4a1b0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52245] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52255] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52470] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52478] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52641] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52646] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52711] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52716] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52770] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52775] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52842] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52847] _al_d3d_sync_bitmap (video) ref count == 1
